capacity-predecessor(c0,c1)
capacity-predecessor(c1,c2)
road(l1,l10)
road(l1,l11)
road(l1,l12)
road(l1,l13)
road(l1,l14)
road(l1,l5)
road(l1,l6)
road(l1,l7)
road(l1,l8)
road(l1,l9)
road(l10,l1)
road(l10,l12)
road(l10,l13)
road(l10,l14)
road(l10,l2)
road(l10,l3)
road(l10,l4)
road(l10,l5)
road(l10,l6)
road(l10,l8)
road(l10,l9)
road(l11,l1)
road(l11,l12)
road(l11,l14)
road(l11,l2)
road(l11,l3)
road(l11,l4)
road(l11,l6)
road(l11,l7)
road(l11,l8)
road(l12,l1)
road(l12,l10)
road(l12,l11)
road(l12,l13)
road(l12,l14)
road(l12,l4)
road(l12,l5)
road(l12,l7)
road(l12,l8)
road(l12,l9)
road(l13,l1)
road(l13,l10)
road(l13,l12)
road(l13,l14)
road(l13,l2)
road(l13,l4)
road(l13,l5)
road(l13,l6)
road(l13,l7)
road(l13,l8)
road(l13,l9)
road(l14,l1)
road(l14,l10)
road(l14,l11)
road(l14,l12)
road(l14,l13)
road(l14,l2)
road(l14,l3)
road(l14,l7)
road(l14,l8)
road(l14,l9)
road(l2,l10)
road(l2,l11)
road(l2,l13)
road(l2,l14)
road(l2,l3)
road(l2,l4)
road(l2,l5)
road(l2,l6)
road(l2,l7)
road(l2,l8)
road(l2,l9)
road(l3,l10)
road(l3,l11)
road(l3,l14)
road(l3,l2)
road(l3,l4)
road(l3,l5)
road(l3,l6)
road(l3,l7)
road(l3,l8)
road(l4,l10)
road(l4,l11)
road(l4,l12)
road(l4,l13)
road(l4,l2)
road(l4,l3)
road(l4,l5)
road(l4,l6)
road(l4,l7)
road(l4,l8)
road(l4,l9)
road(l5,l1)
road(l5,l10)
road(l5,l12)
road(l5,l13)
road(l5,l2)
road(l5,l3)
road(l5,l4)
road(l5,l6)
road(l5,l7)
road(l5,l8)
road(l5,l9)
road(l6,l1)
road(l6,l10)
road(l6,l11)
road(l6,l13)
road(l6,l2)
road(l6,l3)
road(l6,l4)
road(l6,l5)
road(l6,l9)
road(l7,l1)
road(l7,l11)
road(l7,l12)
road(l7,l13)
road(l7,l14)
road(l7,l2)
road(l7,l3)
road(l7,l4)
road(l7,l5)
road(l7,l8)
road(l7,l9)
road(l8,l1)
road(l8,l10)
road(l8,l11)
road(l8,l12)
road(l8,l13)
road(l8,l14)
road(l8,l2)
road(l8,l3)
road(l8,l4)
road(l8,l5)
road(l8,l7)
road(l8,l9)
road(l9,l1)
road(l9,l10)
road(l9,l12)
road(l9,l13)
road(l9,l14)
road(l9,l2)
road(l9,l4)
road(l9,l5)
road(l9,l6)
road(l9,l7)
road(l9,l8)
vehicle(v1)
vehicle(v2)
vehicle(v3)
vehicle(v4)
vehicle(v5)
vehicle(v6)
locatable(v1)
locatable(v2)
locatable(v3)
locatable(v4)
locatable(v5)
locatable(v6)
locatable(p1)
locatable(p2)
locatable(p3)
locatable(p4)
locatable(p5)
locatable(p6)
locatable(p7)
locatable(p8)
locatable(p9)
locatable(p10)
locatable(p11)
locatable(p12)
locatable(p13)
object(v1)
object(v2)
object(v3)
object(v4)
object(v5)
object(v6)
object(p1)
object(p2)
object(p3)
object(p4)
object(p5)
object(p6)
object(p7)
object(p8)
object(p9)
object(p10)
object(p11)
object(p12)
object(p13)
object(l1)
object(l2)
object(l3)
object(l4)
object(l5)
object(l6)
object(l7)
object(l8)
object(l9)
object(l10)
object(l11)
object(l12)
object(l13)
object(l14)
object(c0)
object(c1)
object(c2)
package(p1)
package(p2)
package(p3)
package(p4)
package(p5)
package(p6)
package(p7)
package(p8)
package(p9)
package(p10)
package(p11)
package(p12)
package(p13)
location(l1)
location(l2)
location(l3)
location(l4)
location(l5)
location(l6)
location(l7)
location(l8)
location(l9)
location(l10)
location(l11)
location(l12)
location(l13)
location(l14)
size(c0)
size(c1)
size(c2)
