,domain,difficulty,num,encodes,layers,hidden,method,model_num,model,length,expand,evaluated,time
0,childsnack,easy,p18,llg,L4,H64,mean,r4,gnn-rank,24,30,2001,2.51787
0,ferry,easy,p07,llg,L4,H64,mean,r3,gnn-rank,20,28,90,0.206797
0,spanner,hard,p03,llg,L4,H64,mean,r2,gnn-rank,0,0,0,0
0,ferry,medium,p13,llg,L4,H64,mean,r0,gnn-loss,164,809,4688,13.2725
0,childsnack,easy,p11,llg,L4,H64,mean,r4,gnn-rank,20,1111,2586,4.54634
0,blocksworld,easy,p13,llg,L4,H64,mean,r2,gnn-rank,64,125,525,0.919773
0,rovers,easy,p13,llg,L4,H64,mean,r1,gnn,40,63,412,1.20239
0,childsnack,medium,p14,llg,L4,H64,mean,r0,gnn-rank,0,0,0,0
0,ferry,hard,p16,llg,L4,H64,mean,r4,gnn-rank,0,0,0,0
0,blocksworld,easy,p21,llg,L4,H64,mean,r0,gnn,82,9406,44184,104.683
0,ferry,easy,p05,llg,L4,H64,mean,r3,gnn-rank,15,22,56,0.20573
0,transport,easy,p27,llg,L4,H64,mean,r0,gnn,82,492,8606,15.2597
0,miconic,medium,p06,llg,L4,H64,mean,r1,gnn-rank,95,355,2136,5.68177
0,spanner,medium,p14,llg,L4,H64,mean,r1,gnn,0,0,0,0
0,miconic,medium,p26,llg,L4,H64,mean,r0,gnn-rank,206,620,7826,32.1833
0,transport,medium,p12,llg,L4,H64,mean,r0,gnn,0,0,0,0
0,miconic,medium,p28,llg,L4,H64,mean,r4,gnn-rank,222,828,8570,45.967
0,blocksworld,easy,p05,llg,L4,H64,mean,r0,gnn-rank,24,26,76,0.436191
0,sokoban,easy,p29,llg,L4,H64,mean,r1,gnn-rank,69,4840,6796,71.5106
0,ferry,medium,p02,llg,L4,H64,mean,r2,gnn,50,222,729,2.06898
0,ferry,medium,p23,llg,L4,H64,mean,r1,gnn,274,2268,11107,83.9954
0,ferry,medium,p22,llg,L4,H64,mean,r3,gnn,255,1933,10079,46.8131
0,transport,medium,p28,llg,L4,H64,mean,r0,gnn,0,0,0,0
0,rovers,easy,p21,llg,L4,H64,mean,r3,gnn,48,286,3048,6.44967
0,miconic,medium,p24,llg,L4,H64,mean,r0,gnn-loss,191,719,7153,22.3993
0,spanner,easy,p02,llg,L4,H64,mean,r0,gnn,7,8,9,0.0880229
0,miconic,easy,p09,llg,L4,H64,mean,r4,gnn-rank,11,19,50,0.154295
0,rovers,medium,p04,llg,L4,H64,mean,r3,gnn,0,0,0,0
0,satellite,medium,p24,llg,L4,H64,mean,r1,gnn-rank,0,0,0,0
0,miconic,hard,p13,llg,L4,H64,mean,r0,gnn,666,4593,59440,727.989
0,childsnack,easy,p19,llg,L4,H64,mean,r3,gnn,32,92,3206,4.50864
0,miconic,medium,p02,llg,L4,H64,mean,r0,gnn-loss,70,256,1393,2.0896
0,miconic,easy,p10,llg,L4,H64,mean,r2,gnn,15,22,74,0.14375
