,domain,difficulty,num,encodes,layers,hidden,method,model_num,model,length,expand,evaluated,time
0,sokoban,easy,p07,hff,0,0,NaN,r0,astar,12,until last jump: 20,until last jump: 30,0.000000
0,spanner,easy,p05,hff,0,0,NaN,r0,astar,7,until last jump: 0,until last jump: 1,0.000000
0,ferry,easy,p08,hff,0,0,NaN,r0,astar,23,until last jump: 1026,until last jump: 2480,0.027736
0,floortile,easy,p02,hff,0,0,NaN,r0,astar,36,until last jump: 152691,until last jump: 322690,2.603915
0,sokoban,easy,p08,hff,0,0,NaN,r0,astar,11,until last jump: 6,until last jump: 19,0.000000
0,ferry,easy,p07,hff,0,0,NaN,r0,astar,19,until last jump: 281,until last jump: 651,0.003906
0,childsnack,easy,p03,hff,0,0,NaN,r0,astar,14,until last jump: 37472,until last jump: 54515,0.203872
0,rovers,easy,p07,hff,0,0,NaN,r0,astar,35,until last jump: 2036303,until last jump: 4079568,35.490642
0,satellite,easy,p08,hff,0,0,NaN,r0,astar,8,until last jump: 2,until last jump: 43,0.000000
0,floortile,easy,p09,hff,0,0,NaN,r0,astar,52,until last jump: 23139259,until last jump: 47559686,682.959578
0,miconic,easy,p08,hff,0,0,NaN,r0,astar,11,until last jump: 17,until last jump: 63,0.000000
0,sokoban,easy,p06,hff,0,0,NaN,r0,astar,17,until last jump: 11,until last jump: 20,0.003238
0,childsnack,easy,p04,hff,0,0,NaN,r0,astar,14,until last jump: 76764,until last jump: 110489,0.503584
0,sokoban,easy,p02,hff,0,0,NaN,r0,astar,7,until last jump: 0,until last jump: 1,0.000000
0,ferry,easy,p11,hff,0,0,NaN,r0,astar,30,until last jump: 34528,until last jump: 82789,1.523938
0,childsnack,easy,p05,hff,0,0,NaN,r0,astar,15,until last jump: 91544,until last jump: 118609,0.551949
0,sokoban,easy,p01,hff,0,0,NaN,r0,astar,10,until last jump: 7,until last jump: 13,0.000000
0,ferry,easy,p06,hff,0,0,NaN,r0,astar,18,until last jump: 96,until last jump: 226,0.003596
0,transport,easy,p04,hff,0,0,NaN,r0,astar,6,until last jump: 9,until last jump: 63,0.000000
0,blocksworld,easy,p13,hff,0,0,NaN,r0,astar,0,0,0,0
0,spanner,easy,p04,hff,0,0,NaN,r0,astar,7,until last jump: 0,until last jump: 1,0.000000
0,transport,easy,p02,hff,0,0,NaN,r0,astar,4,until last jump: 1,until last jump: 8,0.000000
0,transport,easy,p09,hff,0,0,NaN,r0,astar,19,until last jump: 703900,until last jump: 3093548,164.375423
0,transport,easy,p08,hff,0,0,NaN,r0,astar,15,until last jump: 3782,until last jump: 14059,0.483964
0,miconic,easy,p04,hff,0,0,NaN,r0,astar,8,until last jump: 1,until last jump: 5,0.000000
0,childsnack,easy,p07,hff,0,0,NaN,r0,astar,18,until last jump: 1991820,until last jump: 4030714,18.587201
0,ferry,easy,p01,hff,0,0,NaN,r0,astar,8,until last jump: 12,until last jump: 27,0.000000
0,sokoban,easy,p03,hff,0,0,NaN,r0,astar,5,until last jump: 0,until last jump: 1,0.000000
0,floortile,easy,p03,hff,0,0,NaN,r0,astar,34,until last jump: 86595,until last jump: 188950,1.275841
0,miconic,easy,p06,hff,0,0,NaN,r0,astar,7,until last jump: 1,until last jump: 6,0.000000
0,spanner,easy,p06,hff,0,0,NaN,r0,astar,8,until last jump: 0,until last jump: 1,0.000000
0,rovers,easy,p05,hff,0,0,NaN,r0,astar,6,until last jump: 1,until last jump: 3,0.000000
0,satellite,easy,p09,hff,0,0,NaN,r0,astar,9,until last jump: 6,until last jump: 139,0.004000
0,ferry,easy,p12,hff,0,0,NaN,r0,astar,29,until last jump: 19877,until last jump: 51815,1.099800
0,blocksworld,easy,p14,hff,0,0,NaN,r0,astar,0,0,0,0
0,rovers,easy,p03,hff,0,0,NaN,r0,astar,23,until last jump: 12757,until last jump: 26260,0.159967
0,satellite,easy,p02,hff,0,0,NaN,r0,astar,8,until last jump: 10,until last jump: 78,0.000000
0,transport,easy,p07,hff,0,0,NaN,r0,astar,14,until last jump: 15468,until last jump: 57015,1.763821
0,floortile,easy,p08,hff,0,0,NaN,r0,astar,49,until last jump: 2780276,until last jump: 5609552,52.350438
0,ferry,easy,p03,hff,0,0,NaN,r0,astar,12,until last jump: 18,until last jump: 38,0.000000
0,sokoban,easy,p05,hff,0,0,NaN,r0,astar,9,until last jump: 3,until last jump: 9,0.000000
0,ferry,easy,p18,hff,0,0,NaN,r0,astar,0,0,0,0
0,sokoban,easy,p04,hff,0,0,NaN,r0,astar,17,until last jump: 13,until last jump: 17,0.003525
0,rovers,easy,p04,hff,0,0,NaN,r0,astar,16,until last jump: 187,until last jump: 546,0.003417
0,blocksworld,easy,p04,hff,0,0,NaN,r0,astar,24,until last jump: 668,until last jump: 1423,0.031082
0,childsnack,easy,p08,hff,0,0,NaN,r0,astar,18,until last jump: 2056240,until last jump: 4020354,17.923111
0,floortile,easy,p06,hff,0,0,NaN,r0,astar,46,until last jump: 2471443,until last jump: 5161207,50.573950
0,rovers,easy,p06,hff,0,0,NaN,r0,astar,20,until last jump: 2640,until last jump: 5876,0.034814
0,transport,easy,p06,hff,0,0,NaN,r0,astar,13,until last jump: 848,until last jump: 2775,0.059968
0,floortile,easy,p05,hff,0,0,NaN,r0,astar,48,until last jump: 663979,until last jump: 1369829,10.327542
0,miconic,easy,p09,hff,0,0,NaN,r0,astar,10,until last jump: 0,until last jump: 1,0.002998
0,spanner,easy,p09,hff,0,0,NaN,r0,astar,10,until last jump: 18,until last jump: 28,0.000000
0,ferry,easy,p14,hff,0,0,NaN,r0,astar,33,until last jump: 9615,until last jump: 30725,0.931691
0,satellite,easy,p04,hff,0,0,NaN,r0,astar,5,until last jump: 0,until last jump: 1,0.002945
0,transport,easy,p05,hff,0,0,NaN,r0,astar,12,until last jump: 664,until last jump: 2258,0.051849
0,transport,easy,p03,hff,0,0,NaN,r0,astar,6,until last jump: 5,until last jump: 44,0.000000
0,floortile,easy,p01,hff,0,0,NaN,r0,astar,26,until last jump: 10143,until last jump: 22504,0.127079
0,ferry,easy,p10,hff,0,0,NaN,r0,astar,26,until last jump: 5983,until last jump: 14351,0.211940
0,blocksworld,easy,p03,hff,0,0,NaN,r0,astar,20,until last jump: 48,until last jump: 106,0.003896
0,childsnack,easy,p06,hff,0,0,NaN,r0,astar,17,until last jump: 1878775,until last jump: 3928284,16.739239
0,blocksworld,easy,p07,hff,0,0,NaN,r0,astar,32,until last jump: 42384,until last jump: 101691,3.955572
