,domain,difficulty,num,encodes,layers,hidden,method,model_num,model,length,expand,evaluated,time
0,spanner,easy,p03,hff,0,0,NaN,r0,hff,7,8,9,0
0,sokoban,easy,p04,hff,0,0,NaN,r0,hff,17,23,51,0
0,sokoban,hard,p15,hff,0,0,NaN,r0,hff,0,0,0,0
0,satellite,easy,p22,hff,0,0,NaN,r0,hff,30,73,4002,0.029235
0,spanner,hard,p02,hff,0,0,NaN,r0,hff,0,0,0,0
0,spanner,easy,p15,hff,0,0,NaN,r0,hff,14,55,87,0
0,miconic,medium,p17,hff,0,0,NaN,r0,hff,166,461,4848,0.0799611
0,rovers,medium,p06,hff,0,0,NaN,r0,hff,214,142060,2849530,241.974
0,rovers,easy,p12,hff,0,0,NaN,r0,hff,31,1598,12776,0.0280163
0,rovers,hard,p21,hff,0,0,NaN,r0,hff,0,0,0,0
0,transport,hard,p07,hff,0,0,NaN,r0,hff,0,0,0,0
0,childsnack,medium,p16,hff,0,0,NaN,r0,hff,0,0,0,0
0,transport,hard,p27,hff,0,0,NaN,r0,hff,0,0,0,0
0,spanner,medium,p17,hff,0,0,NaN,r0,hff,0,0,0,0
0,sokoban,easy,p29,hff,0,0,NaN,r0,hff,95,791,1281,0.0599296
0,rovers,medium,p09,hff,0,0,NaN,r0,hff,262,51244,1407192,225.643
0,floortile,easy,p03,hff,0,0,NaN,r0,hff,36,13514,26576,0.0775421
0,spanner,easy,p13,hff,0,0,NaN,r0,hff,13,63,95,0
0,satellite,medium,p22,hff,0,0,NaN,r0,hff,125,1083,725145,126.502
0,blocksworld,easy,p02,hff,0,0,NaN,r0,hff,8,11,19,0
0,sokoban,medium,p30,hff,0,0,NaN,r0,hff,0,0,0,0
0,floortile,medium,p04,hff,0,0,NaN,r0,hff,0,0,0,0
0,transport,easy,p09,hff,0,0,NaN,r0,hff,20,35,394,0.00662569
0,satellite,easy,p10,hff,0,0,NaN,r0,hff,8,23,555,0.00584721
0,satellite,easy,p12,hff,0,0,NaN,r0,hff,12,23,658,0
