,domain,difficulty,num,encodes,layers,hidden,method,model_num,model,length,expand,evaluated,time
0,ferry,easy,p01,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,satellite,easy,p01,llg,L4,H64,mean,r0,hgn,4,350,752,2.77764
0,blocksworld,easy,p01,llg,L4,H64,mean,r1,hgn,10,11,31,0.0998945
0,floortile,easy,p01,llg,L4,H64,mean,r0,hgn-rank,28,133692,140441,524.186
0,blocksworld,easy,p01,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,childsnack,easy,p01,llg,L4,H64,mean,r2,hgn,19,1355,1853,7.21768
0,floortile,easy,p01,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r0,hgn,8,9,21,0.0549018
0,childsnack,easy,p01,llg,L4,H64,mean,r1,hgn,19,1172,1743,5.5101
0,childsnack,easy,p01,llg,L4,H64,mean,r0,hgn-rank,14,15,199,0.678857
0,floortile,easy,p01,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r2,hgn,8,110,158,0.463576
0,childsnack,easy,p01,llg,L4,H64,mean,r0,hgn,19,750,1473,5.01231
0,blocksworld,easy,p01,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,blocksworld,easy,p01,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,blocksworld,easy,p01,llg,L4,H64,mean,r0,hgn,10,11,31,0.0839173
0,rovers,easy,p01,llg,L4,H64,mean,r1,hgn,9,385,481,1.67821
0,miconic,easy,p01,llg,L4,H64,mean,r1,hgn,4,9,9,0.0239708
0,blocksworld,easy,p01,llg,L4,H64,mean,r0,hgn-rank,10,11,31,0.0879557
0,miconic,easy,p01,llg,L4,H64,mean,r0,hgn-rank,4,6,9,0.0279592
0,blocksworld,easy,p01,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,childsnack,easy,p01,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,spanner,easy,p01,llg,L4,H64,mean,r0,hgn,7,8,9,0.0239478
0,floortile,easy,p01,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,blocksworld,easy,p01,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,childsnack,easy,p01,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,childsnack,easy,p01,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,floortile,easy,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,easy,p01,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r0,hgn-rank,8,9,21,0.0559414
0,miconic,easy,p01,llg,L4,H64,mean,r0,hgn,4,5,9,0.0232745
0,rovers,easy,p01,llg,L4,H64,mean,r0,hgn,9,10,31,0.0998565
0,sokoban,easy,p01,llg,L4,H64,mean,r0,hgn,10,68,111,0.619439
0,floortile,easy,p01,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,easy,p01,llg,L4,H64,mean,r1,hgn,8,12,21,0.051927
0,blocksworld,easy,p01,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,blocksworld,easy,p01,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,miconic,hard,p01,llg,L4,H64,mean,r0,hgn-rank,156,469,8061,863.822
0,miconic,hard,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p01,llg,L4,H64,mean,r0,hgn,73,396,1651,25.2073
0,blocksworld,medium,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,medium,p01,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,rovers,medium,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p01,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,miconic,medium,p01,llg,L4,H64,mean,r0,hgn-rank,59,60,1232,17.0394
0,blocksworld,medium,p01,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,ferry,medium,p01,llg,L4,H64,mean,r1,hgn,37,128,479,5.24419
0,ferry,medium,p01,llg,L4,H64,mean,r0,hgn,36,156,536,7.58227
0,ferry,medium,p01,llg,L4,H64,mean,r0,hgn-rank,36,37,404,4.83265
0,sokoban,medium,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,spanner,medium,p01,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,easy,p02,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p02,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,ferry,easy,p02,llg,L4,H64,mean,r1,hgn,8,11,21,0.0519387
0,blocksworld,easy,p02,llg,L4,H64,mean,r1,hgn,8,10,18,0.0558908
0,blocksworld,easy,p02,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,floortile,easy,p02,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,childsnack,easy,p02,llg,L4,H64,mean,r0,hgn,20,764,1492,5.20359
0,ferry,easy,p02,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,ferry,easy,p02,llg,L4,H64,mean,r0,hgn,8,9,21,0.0599359
0,blocksworld,easy,p02,llg,L4,H64,mean,r0,hgn-rank,8,9,16,0.0479691
0,satellite,easy,p02,llg,L4,H64,mean,r0,hgn,8,3409,5670,19.9555
0,ferry,easy,p02,llg,L4,H64,mean,r0,hgn-rank,8,9,21,0.0559744
0,childsnack,easy,p02,llg,L4,H64,mean,r1,hgn,20,1140,1722,5.40615
0,miconic,easy,p02,llg,L4,H64,mean,r0,hgn,4,6,9,0.0239163
0,blocksworld,easy,p02,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,childsnack,easy,p02,llg,L4,H64,mean,r2,hgn,21,1341,1826,6.66992
0,miconic,easy,p02,llg,L4,H64,mean,r1,hgn,4,9,9,0.0239817
0,childsnack,easy,p02,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,childsnack,easy,p02,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,spanner,easy,p02,llg,L4,H64,mean,r0,hgn,7,9,9,0.0239841
0,ferry,easy,p02,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,floortile,easy,p02,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,floortile,easy,p02,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,blocksworld,easy,p02,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,miconic,easy,p02,llg,L4,H64,mean,r0,hgn-rank,4,5,9,0.0279432
0,floortile,easy,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,easy,p02,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,floortile,easy,p02,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,blocksworld,easy,p02,llg,L4,H64,mean,r0,hgn,8,10,18,0.0519687
0,ferry,easy,p02,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,childsnack,easy,p02,llg,L4,H64,mean,r0,hgn-rank,15,16,197,0.690454
0,blocksworld,easy,p02,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,floortile,easy,p02,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,easy,p02,llg,L4,H64,mean,r2,hgn,8,104,145,0.435573
0,blocksworld,easy,p02,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,rovers,easy,p02,llg,L4,H64,mean,r0,hgn,19,26,88,0.263811
0,childsnack,easy,p02,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,sokoban,easy,p02,llg,L4,H64,mean,r0,hgn,7,16,26,0.119855
0,blocksworld,easy,p02,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,rovers,easy,p02,llg,L4,H64,mean,r1,hgn,16,6165,6717,20.4971
0,miconic,hard,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,hard,p02,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,spanner,medium,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,medium,p02,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,medium,p02,llg,L4,H64,mean,r0,hgn-rank,67,78,1400,21.3385
0,ferry,medium,p02,llg,L4,H64,mean,r0,hgn,55,2068,5839,93.7331
0,miconic,medium,p02,llg,L4,H64,mean,r0,hgn,80,470,1933,29.6038
0,blocksworld,medium,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,medium,p02,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,sokoban,medium,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,rovers,medium,p02,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p02,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,medium,p02,llg,L4,H64,mean,r1,hgn,51,270,818,10.9576
0,ferry,medium,p02,llg,L4,H64,mean,r0,hgn-rank,47,48,552,7.8466
0,blocksworld,easy,p03,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,ferry,easy,p03,llg,L4,H64,mean,r1,hgn,12,15,32,0.0879502
0,blocksworld,easy,p03,llg,L4,H64,mean,r0,hgn,20,22,53,0.155917
0,spanner,easy,p03,llg,L4,H64,mean,r0,hgn,7,11,11,0.0279876
0,rovers,easy,p03,llg,L4,H64,mean,r1,hgn,23,132658,136153,482.231
0,ferry,easy,p03,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,ferry,easy,p03,llg,L4,H64,mean,r0,hgn,12,15,34,0.10392
0,blocksworld,easy,p03,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,childsnack,easy,p03,llg,L4,H64,mean,r0,hgn,19,746,1471,5.32729
0,blocksworld,easy,p03,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,childsnack,easy,p03,llg,L4,H64,mean,r0,hgn-rank,14,15,204,0.743475
0,blocksworld,easy,p03,llg,L4,H64,mean,r1,hgn,20,23,58,0.207768
0,childsnack,easy,p03,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,ferry,easy,p03,llg,L4,H64,mean,r2,hgn,12,881,982,3.03721
0,childsnack,easy,p03,llg,L4,H64,mean,r1,hgn,20,1146,1699,5.42569
0,miconic,easy,p03,llg,L4,H64,mean,r1,hgn,4,11,11,0.0279728
0,miconic,easy,p03,llg,L4,H64,mean,r0,hgn,4,5,11,0.0279794
0,blocksworld,easy,p03,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,satellite,easy,p03,llg,L4,H64,mean,r0,hgn,8,12096,21805,77.2498
0,childsnack,easy,p03,llg,L4,H64,mean,r2,hgn,22,1388,1835,6.702
0,blocksworld,easy,p03,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,childsnack,easy,p03,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,childsnack,easy,p03,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,miconic,easy,p03,llg,L4,H64,mean,r0,hgn-rank,4,8,11,0.0359656
0,floortile,easy,p03,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,ferry,easy,p03,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,floortile,easy,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,easy,p03,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,childsnack,easy,p03,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,rovers,easy,p03,llg,L4,H64,mean,r0,hgn,25,33,132,0.431714
0,ferry,easy,p03,llg,L4,H64,mean,r0,hgn-rank,12,13,32,0.0916122
0,floortile,easy,p03,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,blocksworld,easy,p03,llg,L4,H64,mean,r0,hgn-rank,22,27,56,0.179897
0,sokoban,easy,p03,llg,L4,H64,mean,r0,hgn,7,26,40,0.167873
0,ferry,easy,p03,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,floortile,easy,p03,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,ferry,easy,p03,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,blocksworld,easy,p03,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,floortile,easy,p03,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,floortile,easy,p03,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,hard,p03,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,hard,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,medium,p03,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,blocksworld,medium,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,ferry,medium,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,medium,p03,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,medium,p03,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,spanner,medium,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,ferry,medium,p03,llg,L4,H64,mean,r1,hgn,62,2979,15552,234.088
0,rovers,medium,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p03,llg,L4,H64,mean,r0,hgn-rank,76,82,1565,24.2576
0,miconic,medium,p03,llg,L4,H64,mean,r0,hgn,88,487,1777,28.3004
0,ferry,medium,p03,llg,L4,H64,mean,r0,hgn-rank,63,67,781,12.3197
0,sokoban,medium,p03,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r0,hgn,24,25,68,0.223895
0,sokoban,easy,p04,llg,L4,H64,mean,r0,hgn,21,217,254,1.22306
0,blocksworld,easy,p04,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r0,hgn-rank,38,77,156,0.543066
0,childsnack,easy,p04,llg,L4,H64,mean,r1,hgn,19,1436,2660,9.00093
0,blocksworld,easy,p04,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,miconic,easy,p04,llg,L4,H64,mean,r1,hgn,8,41,42,0.103911
0,satellite,easy,p04,llg,L4,H64,mean,r0,hgn,5,1460,2906,10.3495
0,childsnack,easy,p04,llg,L4,H64,mean,r2,hgn,19,1964,2663,10.5467
0,miconic,easy,p04,llg,L4,H64,mean,r0,hgn,8,10,22,0.0559656
0,childsnack,easy,p04,llg,L4,H64,mean,r0,hgn,19,996,2520,9.48185
0,rovers,easy,p04,llg,L4,H64,mean,r0,hgn,21,28,98,0.307252
0,blocksworld,easy,p04,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,floortile,easy,p04,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r0,hgn-rank,11,12,38,0.111538
0,blocksworld,easy,p04,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r1,hgn,11,16,39,0.107904
0,childsnack,easy,p04,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,childsnack,easy,p04,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,childsnack,easy,p04,llg,L4,H64,mean,r0,hgn-rank,14,15,243,0.883524
0,ferry,easy,p04,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,blocksworld,easy,p04,llg,L4,H64,mean,r1,hgn,24,26,71,0.279721
0,ferry,easy,p04,llg,L4,H64,mean,r0,hgn,11,15,42,0.131848
0,childsnack,easy,p04,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r2,hgn,11,1087,1457,4.8476
0,spanner,easy,p04,llg,L4,H64,mean,r0,hgn,7,11,12,0.0359466
0,miconic,easy,p04,llg,L4,H64,mean,r0,hgn-rank,8,9,21,0.0638985
0,childsnack,easy,p04,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p04,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,rovers,easy,p04,llg,L4,H64,mean,r1,hgn,16,11902,13187,45.6861
0,miconic,hard,p04,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,hard,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,medium,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,spanner,medium,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,ferry,medium,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p04,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,rovers,medium,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p04,llg,L4,H64,mean,r0,hgn,95,356,2105,36.6538
0,ferry,medium,p04,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,medium,p04,llg,L4,H64,mean,r0,hgn-rank,69,643,1717,32.6687
0,miconic,medium,p04,llg,L4,H64,mean,r0,hgn-rank,80,125,1749,30.2126
0,blocksworld,medium,p04,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,sokoban,medium,p04,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,medium,p04,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r0,hgn,20,341,638,2.50229
0,sokoban,easy,p05,llg,L4,H64,mean,r0,hgn,11,76,91,0.427664
0,ferry,easy,p05,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,blocksworld,easy,p05,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p05,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,ferry,easy,p05,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p05,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r2,hgn,20,1974,2643,11.2542
0,blocksworld,easy,p05,llg,L4,H64,mean,r0,hgn,26,29,81,0.287892
0,blocksworld,easy,p05,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p05,llg,L4,H64,mean,r0,hgn-rank,15,16,50,0.151881
0,blocksworld,easy,p05,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,rovers,easy,p05,llg,L4,H64,mean,r0,hgn,6,10,28,0.0909138
0,blocksworld,easy,p05,llg,L4,H64,mean,r0,hgn-rank,32,58,165,0.623459
0,miconic,easy,p05,llg,L4,H64,mean,r0,hgn,7,12,25,0.06684
0,blocksworld,easy,p05,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,blocksworld,easy,p05,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r0,hgn-rank,15,16,241,0.86752
0,satellite,easy,p05,llg,L4,H64,mean,r0,hgn,9,59837,117652,453.305
0,ferry,easy,p05,llg,L4,H64,mean,r2,hgn,15,12515,12903,45.6473
0,blocksworld,easy,p05,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,miconic,easy,p05,llg,L4,H64,mean,r1,hgn,7,49,50,0.127906
0,rovers,easy,p05,llg,L4,H64,mean,r1,hgn,6,102,145,0.531487
0,spanner,easy,p05,llg,L4,H64,mean,r0,hgn,7,10,12,0.0359614
0,ferry,easy,p05,llg,L4,H64,mean,r0,hgn,16,22,62,0.207835
0,blocksworld,easy,p05,llg,L4,H64,mean,r1,hgn,28,32,115,0.503486
0,blocksworld,easy,p05,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r1,hgn,19,1787,2639,8.92483
0,miconic,easy,p05,llg,L4,H64,mean,r0,hgn-rank,7,8,25,0.0839363
0,childsnack,easy,p05,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,childsnack,easy,p05,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p05,llg,L4,H64,mean,r1,hgn,15,19,50,0.143869
0,miconic,hard,p05,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,hard,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,ferry,medium,p05,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,medium,p05,llg,L4,H64,mean,r0,hgn-rank,77,1391,3092,71.3173
0,rovers,medium,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,medium,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,medium,p05,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,sokoban,medium,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,childsnack,medium,p05,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,medium,p05,llg,L4,H64,mean,r0,hgn-rank,83,94,1950,32.6591
0,miconic,medium,p05,llg,L4,H64,mean,r1,hgn,0,0,0,0
0,ferry,medium,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,spanner,medium,p05,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p05,llg,L4,H64,mean,r0,hgn,101,416,2285,40.8451
0,miconic,easy,p06,llg,L4,H64,mean,r0,hgn,8,13,25,0.0725579
0,blocksworld,easy,p06,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,childsnack,easy,p06,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,ferry,easy,p06,llg,L4,H64,mean,r0,hgn,20,25,70,0.235386
0,ferry,easy,p06,llg,L4,H64,mean,r2,hgn,18,58370,70798,259.418
0,childsnack,easy,p06,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r3,hgn,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r0,hgn-rank,76,173,449,1.92304
0,ferry,easy,p06,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,childsnack,easy,p06,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,ferry,easy,p06,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r3,hgn-rank,0,0,0,0
0,ferry,easy,p06,llg,L4,H64,mean,r0,hgn-rank,18,19,64,0.191917
0,sokoban,easy,p06,llg,L4,H64,mean,r0,hgn,17,109,137,0.671457
0,blocksworld,easy,p06,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,spanner,easy,p06,llg,L4,H64,mean,r0,hgn,8,12,13,0.0359854
0,rovers,easy,p06,llg,L4,H64,mean,r0,hgn,23,33,129,0.479673
0,ferry,easy,p06,llg,L4,H64,mean,r2,hgn-rank,0,0,0,0
0,miconic,easy,p06,llg,L4,H64,mean,r1,hgn,7,49,50,0.127893
0,blocksworld,easy,p06,llg,L4,H64,mean,r1,hgn,28,32,100,0.495509
0,childsnack,easy,p06,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r0,hgn,26,34,115,0.451833
0,childsnack,easy,p06,llg,L4,H64,mean,r4,hgn-rank,0,0,0,0
0,rovers,easy,p06,llg,L4,H64,mean,r1,hgn,20,14223,14421,58.1088
0,childsnack,easy,p06,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,easy,p06,llg,L4,H64,mean,r0,hgn-rank,7,8,26,0.0799207
0,blocksworld,easy,p06,llg,L4,H64,mean,r4,hgn,0,0,0,0
0,ferry,easy,p06,llg,L4,H64,mean,r1,hgn-rank,0,0,0,0
0,ferry,easy,p06,llg,L4,H64,mean,r1,hgn,18,19,64,0.195887
0,childsnack,easy,p06,llg,L4,H64,mean,r1,hgn,24,226510,234953,1218.64
0,childsnack,easy,p06,llg,L4,H64,mean,r0,hgn-rank,17,18,508,2.45864
0,satellite,easy,p06,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,blocksworld,easy,p06,llg,L4,H64,mean,r2,hgn,0,0,0,0
0,miconic,hard,p06,llg,L4,H64,mean,r0,hgn-rank,0,0,0,0
0,miconic,hard,p06,llg,L4,H64,mean,r0,hgn,0,0,0,0
0,miconic,medium,p06,llg,L4,H64,mean,r0,hgn-rank,88,106,2154,40.3564
